Company Name,Rating,Company Type,Rated For,Reviews,Salaries,Interviews,Jobs,Benefits,Photos,page_no
Hero MotoCorp,4.2,Automobile | Gurgaon/Gurugram +323 other locations,"Highly Rated For Work Life Balance, Company Culture, Job Security",4.2k,14.6k,316,--,624,9,500
Cyient,3.7,IT Services & Consulting | Hyderabad/Secunderabad +39 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits, Work Satisfaction",4.2k,26.3k,275,74,502,3,500
GlobalLogic,3.7,IT Services & Consulting | San Jose +44 other locations,"Highly Rated For Work Life Balance  Critically Rated For Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",4.2k,34.8k,553,111,573,17,500
Vivo,4.1,Consumer Electronics & Appliances | Gurgaon/Gurugram +384 other locations,"Highly Rated For Skill Development / Learning, Company Culture, Work Life Balance  Critically Rated For Promotions / Appraisal",4.2k,13.4k,184,1,681,3,500
Home Credit Finance,4.1,NBFC | Gurugram +120 other locations,"Highly Rated For Company Culture, Work Life Balance, Skill Development / Learning  Critically Rated For Promotions / Appraisal",4.2k,10.5k,111,94,648,4,500
Mahindra Finance,4.1,NBFC | Mumbai +660 other locations,"Highly Rated For Company Culture, Job Security, Skill Development / Learning",4.2k,11.1k,143,40,522,7,500
Cholamandalam Investment & Finance,4,Financial Services | Chennai +694 other locations,"Highly Rated For Salary & Benefits, Job Security, Skill Development / Learning",4.1k,10.8k,163,31,318,35,500
Eviden,3.6,IT Services & Consulting | Raichur +33 other locations,"Critically Rated For Promotions / Appraisal, Salary & Benefits",4.1k,26.4k,302,43,67,8,500
Bosch Global Software Technologies,4,Software Product | Gerlingen +32 other locations,"Highly Rated For Job Security, Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal, Salary & Benefits",4.1k,35.7k,317,9,744,21,500
UST,3.8,IT Services & Consulting | Aliso Viejo +38 other locations,"Highly Rated For Work Life Balance, Company Culture  Critically Rated For Promotions / Appraisal",4.1k,35.5k,492,66,465,13,500
Manappuram Finance,4,NBFC | Thrissur/Trichur +543 other locations,"Highly Rated For Skill Development / Learning, Promotions / Appraisal",4k,7.9k,140,15,272,16,500
Nagarro,4,IT Services & Consulting | Munich +40 other locations,"Highly Rated For Work Life Balance, Company Culture, Skill Development / Learning",4k,26.6k,753,31,1.2k,19,500
OPPO,4,Consumer Electronics & Appliances | Dongguan +374 other locations,Highly Rated For Skill Development / Learning  Critically Rated For Promotions / Appraisal,4k,12.7k,201,19,666,10,500
